Datetime,C6H6(GT),NO2/NOx(GT),Dew_Point
2004-03-10 18:00:00,11.9,0.6807228915662651,3.379999999999999
2004-03-10 19:00:00,9.4,0.8932038834951457,2.8400000000000016
2004-03-10 20:00:00,9.0,0.8702290076335878,2.700000000000001
2004-03-10 21:00:00,9.2,0.7093023255813954,3.0
2004-03-10 22:00:00,6.5,0.8854961832061069,3.119999999999999
2004-03-10 23:00:00,4.7,1.0786516853932584,3.039999999999999
2004-03-11 00:00:00,3.6,1.2419354838709677,2.66
2004-03-11 01:00:00,3.3,1.2258064516129032,2.6999999999999993
2004-03-11 02:00:00,2.3,1.3333333333333333,2.6400000000000006
2004-03-11 03:00:00,1.7,1.0,2.3400000000000016
2004-03-11 04:00:00,1.3,1.619047619047619,2.1999999999999993
2004-03-11 05:00:00,1.1,1.75,2.24
2004-03-11 06:00:00,1.6,1.411764705882353,2.120000000000001
2004-03-11 07:00:00,3.2,0.8367346938775511,2.119999999999999
2004-03-11 08:00:00,8.0,0.6436781609195402,2.280000000000001
2004-03-11 09:00:00,9.5,0.7829457364341085,2.62
2004-03-11 10:00:00,6.3,0.875,2.4800000000000004
2004-03-11 11:00:00,5.0,0.968421052631579,2.08
2004-03-11 12:00:00,5.2,0.9134615384615384,2.8599999999999994
2004-03-11 13:00:00,7.3,0.7671232876712328,3.580000000000002
2004-03-11 14:00:00,11.5,0.6183574879227053,4.219999999999999
2004-03-11 15:00:00,8.8,0.6847826086956522,4.26
2004-03-11 16:00:00,8.3,0.6787564766839378,3.9399999999999995
2004-03-11 17:00:00,11.2,0.5555555555555556,3.3199999999999994
2004-03-11 18:00:00,20.8,0.5373665480427047,3.1400000000000015
2004-03-11 19:00:00,27.4,0.4490861618798956,3.5599999999999987
2004-03-11 20:00:00,24.0,0.4700854700854701,3.1599999999999993
2004-03-11 21:00:00,12.8,0.5666666666666667,1.8999999999999995
2004-03-11 22:00:00,4.7,0.9042553191489362,0.879999999999999
2004-03-11 23:00:00,2.6,1.127659574468085,0.35999999999999854
2004-03-12 00:00:00,5.9,0.7950819672131147,0.0
2004-03-12 09:00:00,22.1,1.0,0.4399999999999995
2004-03-12 10:00:00,14.0,0.6524064171122995,1.5399999999999991
2004-03-12 11:00:00,11.6,0.6620370370370371,1.9800000000000004
2004-03-12 12:00:00,10.2,0.7902097902097902,2.3000000000000007
2004-03-12 13:00:00,11.0,0.725,3.0000000000000018
2004-03-12 14:00:00,12.8,0.754601226993865,3.4400000000000013
2004-03-12 15:00:00,14.2,0.6631578947368421,3.200000000000001
2004-03-12 16:00:00,12.7,0.6741573033707865,3.3400000000000016
2004-03-12 17:00:00,11.7,0.7933333333333333,3.759999999999998
2004-03-12 18:00:00,19.3,0.7233009708737864,3.0199999999999996
2004-03-12 19:00:00,18.2,0.7178217821782178,3.08
2004-03-12 20:00:00,32.6,0.5,3.0
2004-03-12 21:00:00,20.1,0.5437956204379562,2.76
2004-03-12 22:00:00,14.3,0.549407114624506,2.8200000000000003
2004-03-12 23:00:00,21.8,0.44666666666666666,2.6199999999999983
2004-03-13 00:00:00,9.6,0.5854922279792746,2.3199999999999985
2004-03-13 01:00:00,7.4,0.697841726618705,1.879999999999999
2004-03-13 02:00:00,5.4,0.9879518072289156,1.58
2004-03-13 03:00:00,5.4,1.0,1.2999999999999998
2004-03-13 04:00:00,6.2,0.7614678899082569,1.2199999999999989
2004-03-13 05:00:00,2.6,1.0483870967741935,1.0200000000000014
2004-03-13 06:00:00,2.9,1.1320754716981132,0.7000000000000002
2004-03-13 07:00:00,5.1,0.5539568345323741,0.6800000000000006
2004-03-13 08:00:00,11.8,0.375,0.8199999999999985
2004-03-13 09:00:00,15.1,0.4033898305084746,1.540000000000001
2004-03-13 10:00:00,12.9,0.504,2.6400000000000006
2004-03-13 11:00:00,16.1,0.5337837837837838,4.040000000000001
2004-03-13 12:00:00,14.0,0.6736401673640168,5.159999999999998
2004-03-13 13:00:00,12.3,0.8104575163398693,5.659999999999998
2004-03-13 14:00:00,8.6,0.864406779661017,4.959999999999999
2004-03-13 15:00:00,9.2,0.9747899159663865,5.119999999999997
2004-03-13 16:00:00,10.2,0.8985507246376812,4.620000000000001
2004-03-13 17:00:00,10.6,0.8445945945945946,4.259999999999998
2004-03-13 18:00:00,15.5,0.6519823788546255,4.300000000000001
2004-03-13 19:00:00,19.6,0.5956678700361011,4.280000000000001
2004-03-13 20:00:00,19.2,0.5770609318996416,4.52
2004-03-13 21:00:00,18.3,0.5618374558303887,4.66
2004-03-13 22:00:00,13.1,0.6682242990654206,4.32
2004-03-13 23:00:00,10.9,0.7558139534883721,4.559999999999999
2004-03-14 00:00:00,11.0,0.6789473684210526,4.620000000000001
2004-03-14 01:00:00,11.9,0.6839080459770115,4.9
2004-03-14 02:00:00,8.6,0.8125,4.279999999999999
2004-03-14 03:00:00,9.7,1.0,4.279999999999999
2004-03-14 04:00:00,5.2,1.1714285714285715,4.32
2004-03-14 05:00:00,3.7,1.320754716981132,4.12
2004-03-14 06:00:00,2.5,1.4318181818181819,4.04
2004-03-14 07:00:00,2.4,0.9054054054054054,3.919999999999999
2004-03-14 08:00:00,4.2,0.8316831683168316,4.140000000000001
2004-03-14 09:00:00,6.4,0.7033898305084746,4.4
2004-03-14 10:00:00,8.6,0.6805555555555556,5.120000000000001
2004-03-14 11:00:00,10.9,0.6477272727272727,6.119999999999999
2004-03-14 12:00:00,10.7,0.7391304347826086,6.960000000000001
